director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
unknown,Julie Benz,Tony Curran,Grant Bowler,Action Drama Sci-Fi,defiance            ,Julie BenzTony CurranGrant BowlerAction Drama Sci-Fi
Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,Action Biography Crime Drama Thriller,domino,Ian ZieringMo'NiqueEdgar RamírezAction Biography Crime Drama Thriller
William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,Crime Drama Thriller,jade,Michael BiehnChazz PalminteriLinda FiorentinoCrime Drama Thriller
Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,Action Sci-Fi Thriller,gamer,Gerard ButlerLogan LermanAlison LohmanAction Sci-Fi Thriller
Richard LaGravenese,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Drama Fantasy Romance,beautiful creatures,Alden EhrenreichZoey DeutchPruitt Taylor VinceDrama Fantasy Romance
Danny DeVito,Robin Williams,Vincent Schiavelli,Danny Woodburn,Comedy Crime Drama Thriller,death to smoochy,Robin WilliamsVincent SchiavelliDanny WoodburnComedy Crime Drama Thriller
Ben Stiller,Milla Jovovich,Will Ferrell,Justin Theroux,Comedy,zoolander 2,Milla JovovichWill FerrellJustin TherouxComedy
George Armitage,Morgan Freeman,Andrew Wilson,Willie Nelson,Comedy Crime,the big bounce,Morgan FreemanAndrew WilsonWillie NelsonComedy Crime
Mike Nichols,Judy Greer,Linda Fiorentino,Garry Shandling,Comedy Sci-Fi,what planet are you from?,Judy GreerLinda FiorentinoGarry ShandlingComedy Sci-Fi
Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,Action Fantasy Thriller,drive angry,Nicolas CageBilly BurkeKaty MixonAction Fantasy Thriller
Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,Action Crime Drama Mystery Thriller,street fighter: the legend of chun-li,Chris KleinRobin ShouJosie HoAction Crime Drama Mystery Thriller
James Wong,Jason Statham,Jet Li,Delroy Lindo,Action Sci-Fi Thriller,the one,Jason StathamJet LiDelroy LindoAction Sci-Fi Thriller
unknown,Tobias Menzies,Graham McTavish,Stephen Walters,Drama Romance Sci-Fi,outlander            ,Tobias MenziesGraham McTavishStephen WaltersDrama Romance Sci-Fi
Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,Action Adventure Comedy Crime Music Mystery,the adventures of ford fairlane,Lauren HollyGilbert GottfriedDavid Patrick KellyAction Adventure Comedy Crime Music Mystery
Richard Curtis,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,Comedy Drama Music,pirate radio,Philip Seymour HoffmanCharlie RoweTom SturridgeComedy Drama Music
Steven Soderbergh,Michael O'Neill,Jacob Vargas,James Lew,Crime Drama Thriller,traffic,Michael O'NeillJacob VargasJames LewCrime Drama Thriller
Steven Spielberg,Harrison Ford,Julian Glover,Alison Doody,Action Adventure Fantasy,indiana jones and the last crusade,Harrison FordJulian GloverAlison DoodyAction Adventure Fantasy
Joe Wright,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Drama Romance,anna karenina,Kelly MacdonaldGuro Nagelhus SchiaMatthew MacfadyenDrama Romance
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Action Crime Drama Sci-Fi Thriller,chappie,Hugh JackmanSharlto CopleyJose Pablo CantilloAction Crime Drama Sci-Fi Thriller
Phillip Noyce,Denzel Washington,Angelina Jolie Pitt,Leland Orser,Crime Drama Mystery Thriller,the bone collector,Denzel WashingtonAngelina Jolie PittLeland OrserCrime Drama Mystery Thriller
David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,Crime Drama Thriller,panic room,Kristen StewartDwight YoakamMel RodriguezCrime Drama Thriller
Chuck Bowman,P.J. Soles,Lochlyn Munro,Steve Bacic,Horror Thriller,the tooth fairy,P.J. SolesLochlyn MunroSteve BacicHorror Thriller
David O. Russell,Judy Greer,Jamie Kennedy,Mykelti Williamson,Action Adventure Comedy Drama War,three kings,Judy GreerJamie KennedyMykelti WilliamsonAction Adventure Comedy Drama War
Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,Crime Drama Thriller,child 44,Tom HardyFares FaresMichael NardoneCrime Drama Thriller
Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,Adventure Comedy,rat race,Corinna HarneyDouglas HaaseVince VielufAdventure Comedy
Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,Drama Mystery Sci-Fi,k-pax,Kevin SpaceyJeff BridgesAlfre WoodardDrama Mystery Sci-Fi
James Mangold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,Comedy Fantasy Romance,kate & leopold,Hugh JackmanNatasha LyonneBradley WhitfordComedy Fantasy Romance
Harold Ramis,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Comedy Fantasy Romance,bedazzled,Brendan FraserFrances O'ConnorBrian Doyle-MurrayComedy Fantasy Romance
Francis Ford Coppola,Nicolas Cage,Bob Hoskins,Fred Gwynne,Crime Drama Music,the cotton club,Nicolas CageBob HoskinsFred GwynneCrime Drama Music
James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,Adventure Crime Drama Western,3:10 to yuma,Christian BaleLogan LermanGretchen MolAdventure Crime Drama Western
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,Action Thriller,taken 3,Liam NeesonDougray ScottJon GriesAction Thriller
Steven Soderbergh,Don Cheadle,Albert Brooks,Keith Hudson,Crime Drama Romance Thriller,out of sight,Don CheadleAlbert BrooksKeith HudsonCrime Drama Romance Thriller
Ben Stiller,Matthew Broderick,Janeane Garofalo,Andy Dick,Comedy Drama Thriller,the cable guy,Matthew BroderickJaneane GarofaloAndy DickComedy Drama Thriller
Deepa Mehta,Nandita Das,Gulshan Grover,Eric Peterson,Drama Romance War,earth,Nandita DasGulshan GroverEric PetersonDrama Romance War
Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel,Action Comedy Crime Music Romance Thriller,dick tracy,Charlie KorsmoWarren BeattySeymour CasselAction Comedy Crime Music Romance Thriller
John McTiernan,Mark Margolis,Faye Dunaway,Denis Leary,Crime Romance Thriller,the thomas crown affair,Mark MargolisFaye DunawayDenis LearyCrime Romance Thriller
Penny Marshall,Rosie Perez,Adam Garcia,Alissa Dean,Biography Comedy Drama,riding in cars with boys,Rosie PerezAdam GarciaAlissa DeanBiography Comedy Drama
Andrei Tarkovsky,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,Drama Mystery Sci-Fi,solaris,Donatas BanionisAnatoliy SolonitsynNatalya BondarchukDrama Mystery Sci-Fi
Paul Bolger,Sarah Michelle Gellar,George Carlin,Rob Paulsen,Adventure Animation Comedy Family Fantasy,happily n'ever after,Sarah Michelle GellarGeorge CarlinRob PaulsenAdventure Animation Comedy Family Fantasy
Stephen Frears,Julia Roberts,Bronagh Gallagher,George Cole,Drama Horror Romance Thriller,mary reilly,Julia RobertsBronagh GallagherGeorge ColeDrama Horror Romance Thriller
P.J. Hogan,Julia Roberts,Christopher Masterson,Rupert Everett,Comedy Romance,my best friend's wedding,Julia RobertsChristopher MastersonRupert EverettComedy Romance
Joe Roth,Julia Roberts,Rainn Wilson,Larry King,Comedy Romance,america's sweethearts,Julia RobertsRainn WilsonLarry KingComedy Romance
Christopher Nolan,Al Pacino,Maura Tierney,Crystal Lowe,Drama Mystery Thriller,insomnia,Al PacinoMaura TierneyCrystal LoweDrama Mystery Thriller
Jonathan Frakes,LeVar Burton,Alfre Woodard,Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,star trek: first contact,LeVar BurtonAlfre WoodardJonathan FrakesAction Adventure Drama Sci-Fi Thriller
Jimmy Hayward,Michael Fassbender,Billy Blair,Julia Jones,Action Drama Fantasy Thriller Western,jonah hex,Michael FassbenderBilly BlairJulia JonesAction Drama Fantasy Thriller Western
Edward Zwick,Denzel Washington,Matt Damon,Scott Glenn,Action Drama Mystery Thriller War,courage under fire,Denzel WashingtonMatt DamonScott GlennAction Drama Mystery Thriller War
Tom Shadyac,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,Comedy Fantasy Romance,liar liar,Maura TierneySwoosie KurtzRandall 'Tex' CobbComedy Fantasy Romance
Brad Furman,Joseph Gilgun,Amy Ryan,Olympia Dukakis,Biography Crime Drama Thriller,the infiltrator,Joseph GilgunAmy RyanOlympia DukakisBiography Crime Drama Thriller
Terence Young,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Drama History War,inchon,Laurence OlivierBen GazzaraJacqueline BissetDrama History War
Brian Levant,Jonathan Winters,Elizabeth Perkins,Harvey Korman,Comedy Family Fantasy,the flintstones,Jonathan WintersElizabeth PerkinsHarvey KormanComedy Family Fantasy
Olivier Megaton,Liam Neeson,Luke Grimes,D.B. Sweeney,Action Crime Thriller,taken 2,Liam NeesonLuke GrimesD.B. SweeneyAction Crime Thriller
David Zucker,Regina Hall,Pamela Anderson,Jenny McCarthy,Comedy,scary movie 3,Regina HallPamela AndersonJenny McCarthyComedy
Donald Petrie,Candice Bergen,Wendy Raquel Robinson,Heather Burns,Action Comedy Crime Romance,miss congeniality,Candice BergenWendy Raquel RobinsonHeather BurnsAction Comedy Crime Romance
Eric Brevig,Josh Hutcherson,Brendan Fraser,Anita Briem,Action Adventure Family Fantasy Sci-Fi,journey to the center of the earth,Josh HutchersonBrendan FraserAnita BriemAction Adventure Family Fantasy Sci-Fi
Garry Marshall,Anne Hathaway,Raven-Symoné,Hector Elizondo,Comedy Family Romance,the princess diaries 2: royal engagement,Anne HathawayRaven-SymonéHector ElizondoComedy Family Romance
Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,Crime Drama Mystery Thriller,the pelican brief,Denzel WashingtonJulia RobertsTony GoldwynCrime Drama Mystery Thriller
Joel Schumacher,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Crime Drama Mystery Thriller,the client,Bradley WhitfordAnthony LaPagliaBrad RenfroCrime Drama Mystery Thriller
Rob Reiner,Morgan Freeman,Noel Gugliemi,Sean Hayes,Adventure Comedy Drama,the bucket list,Morgan FreemanNoel GugliemiSean HayesAdventure Comedy Drama
Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,Action Thriller,patriot games,Harrison FordPolly WalkerPatrick BerginAction Thriller
Robert Luketic,Adam Scott,Jane Fonda,Elaine Stritch,Comedy Romance,monster-in-law,Adam ScottJane FondaElaine StritchComedy Romance
Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Crime Drama Mystery Thriller,prisoners,Hugh JackmanJake GyllenhaalDylan MinnetteCrime Drama Mystery Thriller
Antoine Fuqua,Denzel Washington,Snoop Dogg,Tom Berenger,Crime Drama Thriller,training day,Denzel WashingtonSnoop DoggTom BerengerCrime Drama Thriller
Dean Parisot,Alan Rickman,Enrico Colantoni,Robin Sachs,Adventure Comedy Sci-Fi,galaxy quest,Alan RickmanEnrico ColantoniRobin SachsAdventure Comedy Sci-Fi
Keenen Ivory Wayans,Natasha Lyonne,Veronica Cartwright,Andy Richter,Comedy,scary movie 2,Natasha LyonneVeronica CartwrightAndy RichterComedy
James Bobin,Bill Cobbs,Eric Jacobson,Steve Whitmire,Adventure Comedy Family Musical,the muppets,Bill CobbsEric JacobsonSteve WhitmireAdventure Comedy Family Musical
Stephen Norrington,Sanaa Lathan,Traci Lords,Udo Kier,Action Horror,blade,Sanaa LathanTraci LordsUdo KierAction Horror
Thomas Carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Drama Sport,coach carter,Channing TatumRick GonzalezRobert Ri'chardDrama Sport
Roger Michell,Sydney Pollack,Matt Malloy,Bruce Altman,Drama Thriller,changing lanes,Sydney PollackMatt MalloyBruce AltmanDrama Thriller
Luis Llosa,Frank Welker,Eric Stoltz,Kari Wuhrer,Action Adventure Horror Thriller,anaconda,Frank WelkerEric StoltzKari WuhrerAction Adventure Horror Thriller
David McNally,Adam Garcia,Tyra Banks,Izabella Miko,Comedy Drama Music Romance,coyote ugly,Adam GarciaTyra BanksIzabella MikoComedy Drama Music Romance
Richard Curtis,Colin Firth,Liam Neeson,Kris Marshall,Comedy Drama Romance,love actually,Colin FirthLiam NeesonKris MarshallComedy Drama Romance
John Lasseter,Kevin Spacey,Madeline Kahn,John Ratzenberger,Adventure Animation Comedy Family Fantasy,a bug's life,Kevin SpaceyMadeline KahnJohn RatzenbergerAdventure Animation Comedy Family Fantasy
Luis Llosa,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Action Crime Drama Romance Thriller,the specialist,Sylvester StalloneRod SteigerEmilio Estefan Jr.Action Crime Drama Romance Thriller
Ron Shelton,Don Johnson,Cheech Marin,Rene Russo,Comedy Drama Romance Sport,tin cup,Don JohnsonCheech MarinRene RussoComedy Drama Romance Sport
Melville Shavelson,Lucille Ball,Tom Bosley,Tim Matheson,Comedy Family,"yours, mine and ours",Lucille BallTom BosleyTim MathesonComedy Family
Jesse Dylan,Josh Hutcherson,Will Ferrell,Robert Duvall,Comedy Family Romance Sport,kicking & screaming,Josh HutchersonWill FerrellRobert DuvallComedy Family Romance Sport
Garth Jennings,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Adventure Comedy Sci-Fi,the hitchhiker's guide to the galaxy,Zooey DeschanelKelly MacdonaldThomas LennonAdventure Comedy Sci-Fi
Joel Zwick,Dania Ramirez,Nick Zano,Alice Greczyn,Comedy Family Fantasy Romance,fat albert,Dania RamirezNick ZanoAlice GreczynComedy Family Fantasy Romance
Russell Mulcahy,Milla Jovovich,Mike Epps,James Tumminia,Action Horror Sci-Fi Thriller,resident evil: extinction,Milla JovovichMike EppsJames TumminiaAction Horror Sci-Fi Thriller
Frank Coraci,Bella Thorne,Adam Sandler,Joel McHale,Comedy Romance,blended,Bella ThorneAdam SandlerJoel McHaleComedy Romance
Wayne Wang,LL Cool J,Alicia Witt,Timothy Hutton,Adventure Comedy Drama,last holiday,LL Cool JAlicia WittTimothy HuttonAdventure Comedy Drama
Curtis Hanson,Meryl Streep,Glenn Morshower,William Lucking,Action Adventure Crime Thriller,the river wild,Meryl StreepGlenn MorshowerWilliam LuckingAction Adventure Crime Thriller
Frank Oz,Steve Coogan,Vincent Kartheiser,David Keith,Drama Family Fantasy,the indian in the cupboard,Steve CooganVincent KartheiserDavid KeithDrama Family Fantasy
Oliver Stone,Demián Bichir,Shea Whigham,Gary Stretch,Crime Drama Thriller,savages,Demián BichirShea WhighamGary StretchCrime Drama Thriller
David R. Ellis,Richard Burgi,Valerie Cruz,Will Beinbrink,Action Crime Thriller,cellular,Richard BurgiValerie CruzWill BeinbrinkAction Crime Thriller
Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,Action Adventure Comedy,johnny english,Kevin McNallyNatalie ImbrugliaBen MillerAction Adventure Comedy
John A. Davis,Nicolas Cage,Meryl Streep,Julia Roberts,Adventure Animation Comedy Family Fantasy,the ant bully,Nicolas CageMeryl StreepJulia RobertsAdventure Animation Comedy Family Fantasy
David Lynch,Virginia Madsen,Jürgen Prochnow,José Ferrer,Action Adventure Sci-Fi,dune,Virginia MadsenJürgen ProchnowJosé FerrerAction Adventure Sci-Fi
Sam Mendes,Leonardo DiCaprio,Kate Winslet,Joe Komara,Drama Romance,revolutionary road,Leonardo DiCaprioKate WinsletJoe KomaraDrama Romance
Richard Donner,Bruce Willis,David Zayas,Sasha Roiz,Action Crime Drama Thriller,16 blocks,Bruce WillisDavid ZayasSasha RoizAction Crime Drama Thriller
Mathieu Kassovitz,Vin Diesel,Charlotte Rampling,David Belle,Action Adventure Sci-Fi Thriller,babylon a.d.,Vin DieselCharlotte RamplingDavid BelleAction Adventure Sci-Fi Thriller
John Gray,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,Action Comedy Crime Drama Thriller,the glimmer man,Alexa PenaVegaBob GuntonKeenen Ivory WayansAction Comedy Crime Drama Thriller
Harold Ramis,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Comedy Romance Sci-Fi,multiplicity,John de LancieBrian Doyle-MurrayObba BabatundéComedy Romance Sci-Fi
John Schultz,Malese Jow,Carter Jenkins,Tim Meadows,Adventure Comedy Family Fantasy Sci-Fi,aliens in the attic,Malese JowCarter JenkinsTim MeadowsAdventure Comedy Family Fantasy Sci-Fi
Sean Penn,Costas Mandylor,Adrien Dorval,Nels Lennarson,Crime Drama Mystery Thriller,the pledge,Costas MandylorAdrien DorvalNels LennarsonCrime Drama Mystery Thriller
Susan Stroman,Jon Lovitz,Will Ferrell,Matthew Broderick,Comedy Musical,the producers,Jon LovitzWill FerrellMatthew BroderickComedy Musical
Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi,dredd,Wood HarrisJason CopeRakie AyolaAction Sci-Fi
Simon Wincer,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Action Adventure Comedy Fantasy,the phantom,Cary-Hiroyuki TagawaTreat WilliamsKristy SwansonAction Adventure Comedy Fantasy
Billy Bob Thornton,Matt Damon,Henry Thomas,Sam Shepard,Drama Romance Western,all the pretty horses,Matt DamonHenry ThomasSam ShepardDrama Romance Western
Oliver Stone,Anthony Hopkins,Bob Hoskins,Joan Allen,Biography Drama History,nixon,Anthony HopkinsBob HoskinsJoan AllenBiography Drama History
Roman Polanski,Jim Belushi,Olivia Williams,Timothy Hutton,Mystery Thriller,the ghost writer,Jim BelushiOlivia WilliamsTimothy HuttonMystery Thriller
Stephen Sommers,Djimon Hounsou,Jason Flemyng,Wes Studi,Action Adventure Horror Sci-Fi,deep rising,Djimon HounsouJason FlemyngWes StudiAction Adventure Horror Sci-Fi
Spike Lee,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Action Crime Drama Thriller War,miracle at st. anna,Joseph Gordon-LevittOmari HardwickLaz AlonsoAction Crime Drama Thriller War
Yimou Zhang,Li Gong,Ye Liu,Man Li,Drama Romance,curse of the golden flower,Li GongYe LiuMan LiDrama Romance
Danny Pang,Nicolas Cage,Charlie Yeung,James With,Action Crime Thriller,bangkok dangerous,Nicolas CageCharlie YeungJames WithAction Crime Thriller
Barry Sonnenfeld,Zooey Deschanel,Janeane Garofalo,Omar Epps,Comedy Crime Thriller,big trouble,Zooey DeschanelJaneane GarofaloOmar EppsComedy Crime Thriller
Mike Newell,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Drama Romance,love in the time of cholera,Marcela MarGiovanna MezzogiornoUnax UgaldeDrama Romance
unknown,Pierre Perrier,Clotilde Hesme,Céline Sallette,Drama Fantasy Horror Mystery,the returned            ,Pierre PerrierClotilde HesmeCéline SalletteDrama Fantasy Horror Mystery
George P. Cosmatos,Sam Waterston,Ben Gazzara,Nicholas Turturro,Action Thriller,shadow conspiracy,Sam WaterstonBen GazzaraNicholas TurturroAction Thriller
Oliver Parker,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Action Adventure Comedy Crime,johnny english reborn,Daniel KaluuyaTim McInnernyTogo IgawaAction Adventure Comedy Crime
Lawrence Kasanoff,Jerry Stiller,Larry Miller,Harvey Fierstein,Action Animation Comedy Family Fantasy,foodfight!,Jerry StillerLarry MillerHarvey FiersteinAction Animation Comedy Family Fantasy
Ben Affleck,Clea DuVall,Scoot McNairy,Tate Donovan,Biography Drama History Thriller,argo,Clea DuVallScoot McNairyTate DonovanBiography Drama History Thriller
Andrew Davis,Harrison Ford,Daniel Roebuck,Sela Ward,Action Adventure Crime Drama Mystery Thriller,the fugitive,Harrison FordDaniel RoebuckSela WardAction Adventure Crime Drama Mystery Thriller
Andy Tennant,Gerard Butler,Dorian Missick,Peter Greene,Action Comedy Romance,the bounty hunter,Gerard ButlerDorian MissickPeter GreeneAction Comedy Romance
Barry Levinson,Robert De Niro,Brad Pitt,Minnie Driver,Crime Drama Thriller,sleepers,Robert De NiroBrad PittMinnie DriverCrime Drama Thriller
George P. Cosmatos,Sylvester Stallone,Julia Nickson,Martin Kove,Action Adventure Thriller War,rambo: first blood part ii,Sylvester StalloneJulia NicksonMartin KoveAction Adventure Thriller War
Brian Gibson,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Drama Thriller,the juror,Joseph Gordon-LevittDemi MooreAnne HecheDrama Thriller
Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,Animation Family Fantasy Musical,pinocchio,Mel BlancDickie JonesCliff EdwardsAnimation Family Fantasy Musical
Michael Cimino,Jeff Bridges,Sam Waterston,Isabelle Huppert,Adventure Drama Western,heaven's gate,Jeff BridgesSam WaterstonIsabelle HuppertAdventure Drama Western
Len Wiseman,Sophia Myles,Tony Curran,Derek Jacobi,Action Adventure Fantasy Sci-Fi Thriller,underworld: evolution,Sophia MylesTony CurranDerek JacobiAction Adventure Fantasy Sci-Fi Thriller
Gus Van Sant,F. Murray Abraham,Rob Brown,Michael Nouri,Drama,finding forrester,F. Murray AbrahamRob BrownMichael NouriDrama
Betty Thomas,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Comedy Drama,28 days,Steve BuscemiViggo MortensenElizabeth PerkinsComedy Drama
Louis Leterrier,Morgan Freeman,Jet Li,Bob Hoskins,Action Crime Drama Thriller,unleashed,Morgan FreemanJet LiBob HoskinsAction Crime Drama Thriller
Roger Kumble,Judith Chapman,Lillian Adams,Chelsea Bond,Comedy Romance,the sweetest thing,Judith ChapmanLillian AdamsChelsea BondComedy Romance
Sydney Pollack,Tom Cruise,Holly Hunter,Wilford Brimley,Drama Mystery Thriller,the firm,Tom CruiseHolly HunterWilford BrimleyDrama Mystery Thriller
Burr Steers,Augustus Prew,Charlie Tahan,Valerie Tian,Drama Fantasy Romance,charlie st. cloud,Augustus PrewCharlie TahanValerie TianDrama Fantasy Romance
Simon West,Jason Statham,Tony Goldwyn,Mini Anden,Action Crime Thriller,the mechanic,Jason StathamTony GoldwynMini AndenAction Crime Thriller
Phil Lord,Channing Tatum,Dax Flame,Rob Riggle,Action Comedy Crime,21 jump street,Channing TatumDax FlameRob RiggleAction Comedy Crime
Roger Michell,Julia Roberts,Clarke Peters,Dylan Moran,Comedy Drama Romance,notting hill,Julia RobertsClarke PetersDylan MoranComedy Drama Romance
Peter Lord,Imelda Staunton,Miranda Richardson,Julia Sawalha,Adventure Animation Comedy Drama Family,chicken run,Imelda StauntonMiranda RichardsonJulia SawalhaAdventure Animation Comedy Drama Family
John Hamburg,Philip Seymour Hoffman,Masi Oka,Debra Messing,Comedy Romance,along came polly,Philip Seymour HoffmanMasi OkaDebra MessingComedy Romance
Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder,Comedy Drama Romance,boomerang,John WitherspoonEartha KittGeoffrey HolderComedy Drama Romance
Paul Feig,Michael Rapaport,William Xifaras,Demián Bichir,Action Comedy Crime,the heat,Michael RapaportWilliam XifarasDemián BichirAction Comedy Crime
Joseph L. Mankiewicz,Martin Landau,Richard Burton,Roddy McDowall,Biography Drama History Romance,cleopatra,Martin LandauRichard BurtonRoddy McDowallBiography Drama History Romance
Frank Coraci,Salma Hayek,Reggie Lee,Charice,Action Comedy Sport,here comes the boom,Salma HayekReggie LeeChariceAction Comedy Sport
Carl Franklin,Morgan Freeman,Adam Scott,Bruce Davison,Crime Drama Mystery Thriller,high crimes,Morgan FreemanAdam ScottBruce DavisonCrime Drama Mystery Thriller
Barbra Streisand,Jeff Bridges,Austin Pendleton,Mimi Rogers,Comedy Drama Romance,the mirror has two faces,Jeff BridgesAustin PendletonMimi RogersComedy Drama Romance
Mark Pellington,Debra Messing,Will Patton,David Eigenberg,Drama Horror Mystery Thriller,the mothman prophecies,Debra MessingWill PattonDavid EigenbergDrama Horror Mystery Thriller
Larry Charles,Bono,Elton John,Slash,Comedy,brüno,BonoElton JohnSlashComedy
John Glen,Robert Davi,Talisa Soto,Anthony Zerbe,Action Adventure Thriller,licence to kill,Robert DaviTalisa SotoAnthony ZerbeAction Adventure Thriller
Catherine Hardwicke,Gary Oldman,Billy Burke,Virginia Madsen,Fantasy Horror Mystery Thriller,red riding hood,Gary OldmanBilly BurkeVirginia MadsenFantasy Horror Mystery Thriller
John Herzfeld,Robert De Niro,Charlize Theron,Kelsey Grammer,Action Crime Drama Thriller,15 minutes,Robert De NiroCharlize TheronKelsey GrammerAction Crime Drama Thriller
Annabel Jankel,Bob Hoskins,Fisher Stevens,Fiona Shaw,Adventure Comedy Family Fantasy Sci-Fi,super mario bros.,Bob HoskinsFisher StevensFiona ShawAdventure Comedy Family Fantasy Sci-Fi
Andrew Niccol,Nicolas Cage,Jeremy Crutchley,Jared Burke,Crime Drama Thriller,lord of war,Nicolas CageJeremy CrutchleyJared BurkeCrime Drama Thriller
Julie Anne Robinson,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Action Comedy Crime Romance Thriller,one for the money,Fisher StevensDebbie ReynoldsPatrick FischlerAction Comedy Crime Romance Thriller
Evan Goldberg,James Franco,Randall Park,Anders Holm,Comedy,the interview,James FrancoRandall ParkAnders HolmComedy
Sngmoo Lee,Tony Cox,Dong-gun Jang,Jed Brophy,Action Fantasy Western,the warrior's way,Tony CoxDong-gun JangJed BrophyAction Fantasy Western
unknown,Tim Conway,Gavin MacLeod,Bob Hastings,Comedy War,mchale's navy            ,Tim ConwayGavin MacLeodBob HastingsComedy War
Jean-Pierre Jeunet,Omar Sy,Dany Boon,André Dussollier,Action Comedy Crime,micmacs,Omar SyDany BoonAndré DussollierAction Comedy Crime
Curtis Hanson,Mekhi Phifer,Omar Benson Miller,Evan Jones,Drama Music,8 mile,Mekhi PhiferOmar Benson MillerEvan JonesDrama Music
Jamel Debbouze,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Adventure Animation Comedy Family,animal kingdom: let's go ape,Jamel DebbouzeYoussef HajdiMélissa TheuriauAdventure Animation Comedy Family
Brian Helgeland,Heath Ledger,Rufus Sewell,Bérénice Bejo,Action Adventure Romance,a knight's tale,Heath LedgerRufus SewellBérénice BejoAction Adventure Romance
Gordon Chan,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Action Comedy Fantasy,the medallion,Julian SandsLee EvansAnthony Chau-Sang WongAction Comedy Fantasy
M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Olivia Williams,Drama Mystery Thriller,the sixth sense,Bruce WillisHaley Joel OsmentOlivia WilliamsDrama Mystery Thriller
Asger Leth,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Action Crime Thriller,man on a ledge,Robert ClohessyMandy GonzalezJ. Smith-CameronAction Crime Thriller
David Frankel,Joel McHale,Kevin Pollak,JoBeth Williams,Comedy,the big year,Joel McHaleKevin PollakJoBeth WilliamsComedy
David O. Russell,Jennifer Lawrence,Christian Bale,Bradley Cooper,Crime Drama,american hustle,Jennifer LawrenceChristian BaleBradley CooperCrime Drama
Anne Fletcher,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Comedy Drama Romance,the proposal,Ryan ReynoldsDenis O'HareCraig T. NelsonComedy Drama Romance
Bruce Beresford,Bruce Greenwood,Annabeth Gish,Bruce Campbell,Crime Mystery Thriller,double jeopardy,Bruce GreenwoodAnnabeth GishBruce CampbellCrime Mystery Thriller
Robert Zemeckis,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Adventure Comedy Sci-Fi,back to the future part ii,Lea ThompsonJeffrey WeissmanThomas F. WilsonAdventure Comedy Sci-Fi
Luc Besson,Scarlett Johansson,Morgan Freeman,Amr Waked,Action Sci-Fi Thriller,lucy,Scarlett JohanssonMorgan FreemanAmr WakedAction Sci-Fi Thriller
